userId,directory_name,a1,a2,a3,a4,a5,a6,a7,e1,e2,e3,llm,no_llm
d1db45a0-f051-702b-f627-c33637d4528c,user_d1db45a0-f051-702b-f627-c33637d4528c,1.0,0.99,0.6181818181818182,0.9672131147540983,1.0,1.0,0.9603960396039604,0.95,1.005,0.92,0.9466666666666667,0.9583333333333334
c18b0590-1021-70b2-a04d-7da82bf20079,user_c18b0590-1021-70b2-a04d-7da82bf20079,1.0,0.88,0.7818181818181819,0.9344262295081968,0.9076923076923077,0.8761061946902655,1.0,0.62,0.94,0.6,0.9085714285714286,0.72
613b1510-4051-7027-1ee2-8f2c72d3c64b,user_613b1510-4051-7027-1ee2-8f2c72d3c64b,0.9,0.94,0.8545454545454545,0.9344262295081968,0.9538461538461539,1.0,0.9504950495049505,0.875,0.875,0.8,0.9447619047619048,0.85
315b9550-4081-7033-4f93-fe2be67cdfcc,user_315b9550-4081-7033-4f93-fe2be67cdfcc,1.0,0.95,0.8727272727272727,0.9344262295081968,1.0,0.9823008849557522,1.0,0.735,0.79,0.725,0.9657142857142857,0.75
619bf560-4021-7015-9155-f148328587b8,user_619bf560-4021-7015-9155-f148328587b8,1.0,1.0,1.0,0.9672131147540983,0.9846153846153847,0.9823008849557522,0.9702970297029703,0.95,1.1,0.95,0.9847619047619047,1.0
511bf560-b061-7030-1534-373d6182148d,user_511bf560-b061-7030-1534-373d6182148d,1.0,0.98,0.8363636363636363,0.9016393442622951,0.9846153846153847,0.8938053097345132,1.0,0.915,0.98,0.82,0.9428571428571428,0.905
71db5530-00e1-709f-0e88-2c9a19f8dc8b,user_71db5530-00e1-709f-0e88-2c9a19f8dc8b,1.0,0.94,0.9272727272727272,0.9344262295081968,1.0,1.0,1.0,0.885,1.03,0.83,0.9733333333333334,0.915
a19b0540-7071-7042-dcd4-e8b1bed38ef4,user_a19b0540-7071-7042-dcd4-e8b1bed38ef4,1.0,0.98,0.8727272727272727,0.9672131147540983,0.9538461538461539,1.0,1.0,0.925,1.055,0.93,0.9733333333333334,0.97
71ab5570-8001-709a-1343-b36f475fb202,user_71ab5570-8001-709a-1343-b36f475fb202,1.0,0.98,0.8363636363636363,0.8524590163934426,0.9846153846153847,0.9026548672566371,1.0,0.685,0.96,0.66,0.939047619047619,0.7683333333333333
112b5570-40c1-70f5-ada6-8cd2d2eb5007,user_112b5570-40c1-70f5-ada6-8cd2d2eb5007,1.0,0.98,0.8363636363636363,0.8852459016393442,1.0,0.9911504424778761,1.0,0.83,0.845,0.68,0.9638095238095238,0.785
b14ba500-e041-701b-eba7-204e26a8a5b7,user_b14ba500-e041-701b-eba7-204e26a8a5b7,1.0,0.95,0.9818181818181818,0.9672131147540983,1.0,1.0,0.9702970297029703,0.785,1.0,0.95,0.979047619047619,0.9116666666666666
c11b3500-c051-70c9-5385-6797f6c08070,user_c11b3500-c051-70c9-5385-6797f6c08070,1.0,0.98,0.8,0.9508196721311475,0.9846153846153847,0.9646017699115044,1.0,0.805,1.0,0.91,0.96,0.905
714b9540-8061-70d8-daaa-8a4b42d4dd71,user_714b9540-8061-70d8-daaa-8a4b42d4dd71,1.0,1.0,0.7454545454545455,0.8524590163934426,1.0,1.0,1.0,0.82,1.045,0.89,0.9561904761904761,0.9183333333333333
71cb5540-20c1-70a9-1806-fbc6af5f0b86,user_71cb5540-20c1-70a9-1806-fbc6af5f0b86,0.9666666666666667,0.98,0.9090909090909091,0.9672131147540983,0.9846153846153847,0.9646017699115044,0.9455445544554455,0.87,1.055,0.75,0.960952380952381,0.8916666666666667
d1fb5550-1001-7057-b8f9-d17759791a6b,user_d1fb5550-1001-7057-b8f9-d17759791a6b,1.0,1.0,0.9454545454545454,0.9836065573770492,1.0,1.0,1.0,0.91,1.05,0.88,0.9923809523809524,0.9466666666666667
c17be530-0011-7066-b860-92d133614a57,user_c17be530-0011-7066-b860-92d133614a57,1.0,0.98,0.9272727272727272,0.9180327868852459,1.0,0.911504424778761,0.9108910891089109,0.82,0.97,0.73,0.9428571428571428,0.84
216bd550-9081-7098-93e3-10b74373ebe6,user_216bd550-9081-7098-93e3-10b74373ebe6,0.9666666666666667,0.98,0.8909090909090909,0.9016393442622951,0.9076923076923077,1.0,0.9801980198019802,0.83,1.0,0.78,0.9561904761904761,0.87
b1bbe550-6071-708d-a4b6-8d280dff01d0,user_b1bbe550-6071-708d-a4b6-8d280dff01d0,1.0,1.0,0.9272727272727272,0.9672131147540983,1.0,1.0,1.0,0.915,1.04,0.78,0.9885714285714285,0.9116666666666666
913b9550-d0d1-70fe-1817-55e26d83e2ef,user_913b9550-d0d1-70fe-1817-55e26d83e2ef,1.0,0.96,0.8545454545454545,0.9344262295081968,0.9846153846153847,1.0,1.0,0.75,1.09,0.95,0.9676190476190476,0.93
d10bd540-b0a1-702b-2353-0f09ca339f59,user_d10bd540-b0a1-702b-2353-0f09ca339f59,1.0,0.91,0.8909090909090909,0.9836065573770492,1.0,0.9380530973451328,0.9801980198019802,0.67,0.98,0.72,0.9523809523809523,0.79
113ba590-f051-7017-0685-470ebc1c654d,user_113ba590-f051-7017-0685-470ebc1c654d,1.0,0.98,0.8454545454545455,0.9672131147540983,0.9692307692307692,0.9646017699115044,0.9801980198019802,0.57,1.005,0.79,0.960952380952381,0.7883333333333333
013b35f0-4081-70f7-c75c-ee3f9b7c3d43,user_013b35f0-4081-70f7-c75c-ee3f9b7c3d43,1.0,0.97,0.5272727272727272,0.9672131147540983,0.9538461538461539,0.9557522123893806,0.8910891089108911,0.79,0.93,0.64,0.9047619047619048,0.7866666666666666
d1eb9530-4041-7020-0d8f-11856c946049,user_d1eb9530-4041-7020-0d8f-11856c946049,1.0,0.98,0.8545454545454545,0.9672131147540983,0.9692307692307692,0.9734513274336283,1.0,0.83,0.975,0.85,0.9676190476190476,0.885
218be570-f0f1-7033-b8df-1466adc57225,user_218be570-f0f1-7033-b8df-1466adc57225,1.0,1.0,0.8909090909090909,0.9836065573770492,1.0,1.0,1.0,0.835,1.09,0.9,0.9866666666666667,0.9416666666666667
